total_wage,num_in_field,field
14876002.0,270,"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEA"
12413599.0,269,MECHANICAL DRAFTERS
18093024.0,267,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&D"
14436055.0,259,"Computer Systems Analysts, Non R&D (ACWIA Only)"
15725711.0,258,"COMPENSATION, BENEFITS, AND JOB ANALYSIS"
18950602.0,253,NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR
13557336.0,252,Computer Programmer Non R & D
22011511.0,252,MANAGEMENT ANALYST
11954113.0,251,PARALEGALS AND LEGAL ASSISTANTS*
12941305.0,249,"SOCIAL SCIENCES TEACHERS, POSTSECONDARY, ALL OTHER"
11516200.0,247,"SALES REPRESENTATIVES, SERVICES, ALL OTHER"
19463112.0,246,INDUSTRIAL-ORGANIZATIONAL PSYCHOLOGISTS
12031388.0,245,"SOCIAL WORK TEACHERS, POSTSECONDARY"
13289779.0,244,COMPUTER PROGRAMMERS R & D
11993561.0,242,"MATHEMATICAL SCIENCE OCCUPATIONS, ALL OTHER"
11492379.0,240,"SPECIAL EDUCATION TEACHERS, KINDERGARTEN AND"
14232744.0,239,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, R&D"
12687314.0,229,"ENVIRONMENTAL SCIENCE TEACHERS, POSTSECONDARY"
11118336.0,227,LOAN OFFICERS
8832100.0,221,"SOCIAL WORKERS, ALL OTHER"
9269236.0,220,ARCHITECTURAL DRAFTERS
8707513.0,220,RECREATIONAL THERAPISTS
9250503.0,219,MUSEUM TECHNICIANS AND CONSERVATORS
11956606.0,218,"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION M"
7499313.0,217,"COMMUNITY AND SOCIAL SERVICE SPECIALISTS, ALL OTHE"
9776272.0,212,"SPECIAL EDUCATION TEACHERS, KINDERGARTEN AND ELEME"
13591924.0,210,"Computer Software Engineers, Applications, Non R &"
16039457.0,209,"LAW TEACHERS, POSTSECONDARY"
8517607.0,205,"MEETING, CONVENTION, AND EVENT PLANNERS*"
6953997.0,196,FARM AND HOME MANAGEMENT ADVISORS
7249476.0,196,MEDICAL AND CLINICAL LABORATORY TECHNICIANS
8632115.0,196,PERSONNEL RECRUITERS
7092363.0,194,"COUNSELORS, ALL OTHER"
12638383.0,191,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&D"
8394699.0,187,EXECUTIVE SECRETARIES AND EXECUTIVE ADMINISTRATIVE
6920525.0,185,ADULT BASIC AND SECONDARY EDUCATION AND LITERACY T
6439148.0,185,"EDUCATION, TRAINING, AND LIBRARY WORKERS, ALL OTHE"
15582683.0,185,PUBLIC RELATIONS MANAGERS
9825235.0,184,"ANTHROPOLOGY AND ARCHEOLOGY TEACHERS, POSTSECONDAR"
7345849.0,184,"LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS,"
9821223.0,183,"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMER"
7580905.0,183,MARRIAGE AND FAMILY THERAPISTS
9060391.0,181,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNICIANS
7833495.0,179,"VOCATIONAL EDUCATION TEACHERS, POSTSECONDARY"
